gender,Near_Location,Partner,Promo_friends,Phone,Contract_period,Group_visits,Age,Avg_additional_charges_total,Month_to_end_contract,Lifetime,Avg_class_frequency_total,Avg_class_frequency_current_month,Churn,Delta_freq,is_sleeping_dog,freq_ratio,risk_score,faixa_risco
0,1,0,0,1,6,1,26,96.78,4.8,2.6,3.0,2.5,0,0.5,0,0.8305647840531563,0.07275366996438437,1. Baixo
0,1,0,1,1,1,0,24,69.05,0.1,1.8,0.74,0.07,1,0.6699999999999999,0,0.09333333333333334,0.7079793153023844,4. Critico
0,1,1,0,1,12,0,34,17.41,9.5,6.6,5.32,0.06,0,5.260000000000001,1,0.01125703564727955,0.005609330137689843,1. Baixo
1,1,0,0,1,6,0,37,102.31,1.2,3.5,1.34,2.37,0,-1.03,0,1.7555555555555555,0.008278797124720998,1. Baixo
1,1,0,0,1,1,0,28,109.02,0.5,0.8,1.07,0.9,1,0.17000000000000004,0,0.8333333333333333,0.6326020678730415,3. Alto
0,1,1,0,1,12,0,25,86.14,9.8,7.0,1.01,0.31,0,0.7,1,0.30392156862745096,0.01788793524417504,1. Baixo
0,1,1,0,1,6,0,22,67.41,0.4,5.1,3.7,4.09,0,-0.3899999999999997,0,1.1024258760107817,0.014850786976621738,1. Baixo
0,1,1,0,1,6,0,28,233.4,5.6,2.8,1.58,1.36,0,0.21999999999999997,0,0.8553459119496856,0.13692487416275614,1. Baixo
1,1,1,1,1,1,0,28,172.58,0.2,0.6,1.81,1.89,0,-0.07999999999999985,0,1.0384615384615383,0.03535164473309635,1. Baixo
1,1,1,0,1,1,0,27,56.01,0.5,3.7,1.1,0.56,1,0.54,0,0.5045045045045045,0.8015299587804566,4. Critico
0,1,1,0,1,1,0,30,158.53,0.7,0.2,3.31,3.3,0,0.010000000000000231,0,0.9939759036144579,0.06585677890979405,1. Baixo
0,1,1,0,1,12,0,31,79.7,1.5,4.7,1.71,2.85,0,-1.1400000000000001,0,1.6569767441860466,0.0007157935565107573,1. Baixo
1,1,0,0,1,6,0,30,222.19,3.7,3.7,1.58,1.3,0,0.28,0,0.8176100628930818,0.14126082732873216,1. Baixo
0,1,0,0,1,12,0,28,87.06,6.2,9.9,3.82,4.15,0,-0.3300000000000005,0,1.0835509138381203,0.00016545784224841363,1. Baixo
0,1,0,0,1,1,0,26,246.38,0.6,3.5,1.89,1.98,0,-0.09000000000000008,0,1.0421052631578949,0.06629462526456234,1. Baixo
1,1,1,0,1,1,1,31,236.77,0.7,3.5,2.07,1.9,0,0.16999999999999993,0,0.9134615384615385,0.16043445751765248,1. Baixo
1,1,1,0,1,6,0,29,183.85,2.5,3.7,1.28,0.4,1,0.88,0,0.31007751937984496,0.8529291589906763,4. Critico
0,1,1,0,1,1,1,32,85.71,0.3,2.5,3.75,3.61,0,0.14000000000000012,0,0.9601063829787234,0.07897599254230424,1. Baixo
1,1,0,1,1,12,1,32,119.33,2.2,6.6,1.57,0.03,0,1.54,1,0.018987341772151896,0.0007878817615143621,1. Baixo
0,1,1,0,1,6,0,25,128.41,5.6,4.0,2.3,2.44,0,-0.14000000000000012,0,1.0562770562770565,0.012025638609350414,1. Baixo
0,1,0,1,1,6,0,24,149.09,2.4,9.4,2.94,0.26,0,2.6799999999999997,1,0.088135593220339,0.010585988900966873,1. Baixo
1,0,0,0,0,1,1,27,257.84,0.3,5.7,1.29,1.17,0,0.1200000000000001,0,0.8999999999999999,0.13256225374474043,1. Baixo
0,0,1,1,1,12,0,26,111.41,0.6,4.9,2.39,3.33,0,-0.94,0,1.3875000000000002,0.0048448206160172595,1. Baixo
1,1,1,1,1,12,1,32,219.62,9.0,6.5,0.94,0.26,0,0.6799999999999999,1,0.2736842105263158,0.035442739655815,1. Baixo
1,1,1,0,1,6,1,30,63.22,3.2,6.0,3.53,3.33,0,0.19999999999999973,0,0.9406779661016951,0.009080160739404281,1. Baixo
0,1,0,0,1,1,0,33,91.59,0.2,0.3,1.95,1.24,1,0.71,0,0.6326530612244898,0.9025757464576637,4. Critico
0,1,0,0,1,1,0,31,80.8,0.9,1.4,1.12,0.93,0,0.19000000000000006,0,0.8230088495575221,0.4671462769516561,3. Alto
1,0,0,0,1,1,1,30,221.6,0.9,2.0,2.46,2.38,1,0.08000000000000007,0,0.9635627530364373,0.4956893492173682,3. Alto
0,1,0,0,1,1,0,33,284.73,0.9,0.1,1.31,0.0,1,1.31,0,0.0,0.9969767813547585,4. Critico
0,1,1,0,1,6,0,31,99.98,3.4,2.4,0.24,0.0,0,0.24,0,0.0,0.26195875523015727,2. Medio
0,1,0,1,1,6,1,29,83.87,2.2,3.7,0.5,0.33,0,0.16999999999999998,0,0.6470588235294118,0.04058786994512406,1. Baixo
